time,SAM_dudt,coupled_nekdP,dP,inlet_P,inlet_S03,inlet_V,m_in_main,m_in_side,m_out_main,m_out_side,nekRS_accelGradPres,nekRS_posGradPres,outlet_P,outlet_S03,outlet_V
30.965000000057,-0.00018607304816195,668.43210373012,493.1708372798,135.1708372798,0.030958746464537,0.42483625547529,-0.83001747988693,-0.82934131741111,0.82874157173027,0.83105681071811,-0.18561921599749,668.24648451412,-358,0.068257402935648,0.42474087004156
30.970000000057,-7.9362479897182e-05,667.6013612434,492.63630430154,134.63630430154,0.03082177651554,0.42483561992425,-0.83001747988693,-0.82934007672431,0.82874030574712,0.83106027048537,-0.079168914808713,667.52219232859,-358,0.068098731251392,0.42474044475505
30.975000000057,-0.00013121095648569,668.07932411323,492.95087319577,134.95087319577,0.030685253891229,0.42483510674456,-0.83001747988693,-0.82933907492392,0.82873897690119,0.83106405547722,-0.13089093296282,667.94843318027,-358,0.067940539181317,0.42474027591888
30.980000000057,-7.7833084524584e-05,667.59451712598,492.63237924454,134.63237924454,0.030549178352198,0.42483451838771,-0.83001747988693,-0.82933792636694,0.82873787436845,0.83106721295286,-0.077643249631429,667.51687387635,-358,0.067783288238512,0.4247400646059
30.985000000057,-8.8245767426937e-05,667.69563800101,492.69934130259,134.69934130259,0.030413549522916,0.42483409836114,-0.83001747988693,-0.82933710641483,0.82873667928031,0.83106965154556,-0.088030536000183,667.60760746501,-358,0.067627366999682,0.4247399208172
30.990000000057,-2.5562952407909e-05,667.1582415711,492.34888632231,134.34888632231,0.030278367086282,0.42483379295903,-0.83001747988693,-0.82933651022609,0.82873561288242,0.83107132116389,-0.025500604366986,667.13274096673,-358,0.067473003237691,0.42473990683627
30.995000000057,6.2567597538306e-05,666.43328053679,491.87874209,133.87874209,0.030143630606337,0.42483392116376,-0.83001747988693,-0.82933676050012,0.82873518136098,0.83107249738026,0.06241499516791,666.49569553196,-358,0.067320206901291,0.42474016012346
31.000000000057,9.8896691678728e-06,666.93697151334,492.21168786834,134.21168786834,0.030009339663395,0.42483415902571,-0.83001747988693,-0.82933722484078,0.82873520606027,0.83107261676684,0.0098655482647723,666.94683706161,-358,0.067168760413723,0.42474029805236
31.005000000057,-9.1347362770167e-05,667.71449382196,492.71097362023,134.71097362023,0.029875494014399,0.42483390055964,-0.83001747988693,-0.82933672027793,0.82873560901386,0.83107083525823,-0.091124566552371,667.62336925541,-358,0.067018260022229,0.42473972591311
31.010000000057,-0.00013525413221556,668.06386051905,492.93648433333,134.93648433333,0.029742093403023,0.42483335916765,-0.83001747988693,-0.8293356634031,0.82873686707048,0.83106725744108,-0.13492424738709,667.92893627167,-358,0.066868197595909,0.42473830407435
31.015000000057,-0.00014017332303616,668.0235056502,492.90308059771,134.90308059771,0.029609137614875,0.4248326196423,-0.83001747988693,-0.82933421974352,0.82873878104706,0.83106211731686,-0.13983144030128,667.8836742099,-358,0.066718063490952,0.42473597312727
31.020000000057,-0.00015075026759852,668.19475299256,493.02167557555,135.02167557555,0.029476626259359,0.42483193282401,-0.83001747988693,-0.82933287897569,0.82874142664503,0.83105593284,-0.15038258769584,668.04437040486,-358,0.066567447547368,0.42473286832825
31.025000000057,-0.00013471291912786,668.05716968078,492.93194489038,134.93194489038,0.029344558978204,0.42483113214086,-0.83001747988693,-0.82933131592732,0.82874409265539,0.83104914311723,-0.1343843543181,667.92278532646,-358,0.066416117258716,0.42472915295318
31.030000000057,-0.00014949839059745,668.18106366204,493.01249438968,135.01249438968,0.029212935403549,0.4248304007945,-0.83001747988693,-0.82932988823429,0.82874649879258,0.8310425634774,-0.14913376402278,668.03192989801,-358,0.066264057347259,0.4247252496949
31.035000000057,-5.7062967639662e-05,667.39984641182,492.50400193414,134.50400193414,0.029081755125013,0.42482984081773,-0.83001747988693,-0.82932879507931,0.82874845921857,0.83103692824249,-0.056923791061589,667.34292262076,-358,0.066111463826617,0.42472159083986
31.040000000057,-2.6416119644705e-05,667.20962829668,492.38618199701,134.38618199701,0.028951017618127,0.42482969835649,-0.83001747988693,-0.82932851697453,0.82874990295239,0.83103315651931,-0.026351690728891,667.18327660595,-358,0.065958694136408,0.42471872912878
31.045000000057,-5.127315202072e-05,667.35505478389,492.47520788715,134.47520788715,0.02882072245795,0.42482946542199,-0.83001747988693,-0.82932806225297,0.82874971395999,0.83103107497056,-0.051148096802941,667.30390668709,-358,0.065806187292613,0.42471666117624
31.050000000057,-3.4920707738175e-05,667.22619880057,492.39215001066,134.39215001066,0.028690869243834,0.42482925760659,-0.83001747988693,-0.8293276565675,0.8287486374639,0.83103038426882,-0.034835536132002,667.19136326444,-358,0.065654371822724,0.42471530266775
31.055000000057,-1.4087479395194e-05,667.10238891453,492.31611497749,134.31611497749,0.028561457527759,0.42482915859837,-0.83001747988693,-0.82932746328924,0.8287475641747,0.8310301299988,-0.014053120032949,667.0883357945,-358,0.065503578143026,0.42471420661877
31.060000000057,-0.00013426923527855,668.06649220283,492.93915162377,134.93915162377,0.028432486894141,0.4248288108197,-0.83001747988693,-0.82932678437539,0.82874715509445,0.83102863894165,-0.13394175261371,667.93255045021,-358,0.065353979498831,0.42471252649238
31.065000000057,-0.00019425336943511,668.56533859082,493.26314317738,135.26314317738,0.028303957039428,0.42482792822638,-0.83001747988693,-0.82932506142662,0.8287478093399,0.83102512581808,-0.19377958546706,668.37155900535,-358,0.065205570460355,0.42470984054689
31.070000000057,-0.00019844418773025,668.61602036336,493.29746138819,135.29746138819,0.028175867650276,0.4248268638109,-0.83001747988693,-0.8293229835349,0.82874962031812,0.83102040361682,-0.19796018235637,668.418060181,-358,0.065058184056057,0.42470652519723
31.075000000057,-0.00011885049017877,667.85854417363,492.79703583749,134.79703583749,0.028048218258932,0.42482598589614,-0.83001747988693,-0.82932126971934,0.82875257470073,0.83101540353784,-0.11856061383322,667.7399835598,-358,0.064911540026638,0.42470301654376
31.080000000057,-0.00011866939211402,667.97945717715,492.88640385216,134.88640385216,0.027921008292898,0.42482554658537,-0.83001747988693,-0.82932041212168,0.82875683234861,0.83101064297963,-0.11837995746665,667.86107721968,-358,0.06476530841712,0.42469955754313
31.085000000057,-0.00033083832655931,669.6126997404,493.93554858193,135.93554858193,0.027794237305404,0.42482433099003,-0.83001747988693,-0.8293180391052,0.82876114666503,0.83100483433303,-0.33003141188083,669.28266832852,-358,0.064619174054363,0.42469550152236
31.090000000057,-0.00029540895837181,669.30553136557,493.73493941671,135.73493941671,0.027667905109506,0.42482254785609,-0.83001747988693,-0.82931455817194,0.82876610847391,0.83099719834578,-0.29468845592234,669.01084290965,-358,0.064472887237999,0.42469049807203
31.095000000057,-0.00014719197587751,668.09526487159,492.95087224866,134.95087224866,0.027542011170015,0.42482158806809,-0.83001747988693,-0.82931268452807,0.82877439637167,0.83098781558087,-0.14683297464834,667.94843189694,-358,0.064326291379669,0.42468466424265
31.100000000057,-0.00016365638609295,668.28173121474,493.07636456574,135.07636456574,0.027416554763087,0.42482089418638,-0.83001747988693,-0.82931132997143,0.82878582451448,0.83097537483466,-0.16325722816727,668.11847398658,-358,0.064179328545822,0.424677418398
31.105000000058,-0.00021386165190478,668.72055143866,493.36325564231,135.36325564231,0.027291535435369,0.42481997040516,-0.83001747988693,-0.82930952661797,0.8288001075781,0.83095916144657,-0.21334004333579,668.50721139533,-358,0.064032026142339,0.424668477912
