"ILW_Line: Temperature (C)","ILW_Line: Position[X] (m)"
258.2845045054189,0.4205
258.32339431824585,0.42100000000000004
258.4261060744291,0.4215
258.46706742014,0.42200000000000004
258.5751288242021,0.4225
258.6185762802643,0.42300000000000004
258.73355658173466,0.4235
258.78021572821206,0.42400000000000004
258.90438473793904,0.4245
258.95525201510634,0.42500000000000004
259.0915793457126,0.4255
259.14804942147225,0.42600000000000005
259.300955213523,0.4265
259.3650751274082,0.42700000000000005
259.5412916024883,0.4275
259.6158512269692,0.42800000000000005
259.824145584064,0.4285
259.91262897253955,0.42900000000000005
260.1639322450342,0.4295
260.270259902474,0.43000000000000005
260.57629526903577,0.4305
260.703932047085,0.43100000000000005
261.073138788571,0.4315
261.2251429034376,0.43200000000000005
261.6683222652059,0.4325
261.84592945883526,0.43300000000000005
262.3635620756013,0.4335
262.55855831030203,0.43400000000000005
263.1018980649262,0.4345
263.303656795713,0.43500000000000005
263.86139108601765,0.4355
264.05933494207886,0.43600000000000005
264.5873339705706,0.4365
264.7585259770143,0.43700000000000006
265.1583922234404,0.4375
265.2961155898945,0.438
265.62535281351234,0.4385
265.75026154639306,0.439
266.08979450878576,0.4395
266.2105645842631,0.44
266.5387831753601,0.4405
266.63731200392044,0.441
266.862934841697,0.4415
266.91629527099906,0.442
266.9891556926709,0.4425
266.98874193491736,0.443
266.90792261014576,0.4435
266.86054357927105,0.444
266.6678966878841,0.4445
266.5915271312607,0.445
266.3512544846061,0.4455
266.26900024081783,0.446
266.05264341532234,0.4465
265.9864536060961,0.447
265.85247699801266,0.4475
265.81454464822104,0.448
265.77738291126593,0.4485
265.7612881012956,0.449
265.76717894933984,0.4495
265.7508536936558,0.45
