time,Branch_in:massflow,Branch_in:pressure,Branch_in:temperature,Branch_in:velocity,Branch_out:massflow,Branch_out:pressure,Branch_out:temperature,Branch_out:velocity,NekRS_pressureDrop,fromNekRS_velocity,mFlow_pipe1out,mFlow_pipe2out,mFlow_pipe4out,mFlow_pipe5out,p_outlet_interface,p_pipe1in,p_pipe1out,p_pipe2in,p_pipe2out,p_pipe4in,p_pipe4out,p_pipe5in,pres_inlet_interface,temp_interface,toNekRS_velocity,vel_pipe5out,branch1:pressure,branch1:rho,branch1:temperature,branch1:velocity,pump:pressure,pump:pump_head,pump:rho,pump:temperature,pump:velocity
0.155,2.8427126120157,-16683.060692981,1.0002119117497,0.36283042991276,2.4783250008225,19341.946375785,1,0.31632171388382,18542.974144954,0.31632171403344,2.8427126094157,2.8427126120157,2.4783250025108,-0.36438760576654,19341.946375785,898.18163359497,-7904.9394774872,-7879.9395431515,-16683.060692981,19341.946375785,913.93636461001,962.76516175817,37884.920520739,1,0.36283042991276,-0.046508715336301,898.1816357449,997.561,0.99999992681488,0.36283042947095,-7879.9394941955,25,997.561,0.99972640740591,0.36283042957542
0.16,2.1502483650769,37884.920520492,1.0002543322076,0.27444755949735,2.8242570517492,11406.631668785,1,0.36047484924748,8883.5572165906,0.36047484925413,2.1502483653286,2.1502483650769,2.8242570518944,0.67400868661734,11406.631668785,2610.4951111105,20235.207827553,20260.207833498,37884.920520492,11406.631668785,2583.2513959209,2644.3726646866,20290.188885375,1,0.27444755949735,0.086027289743122,2583.2513937535,997.561,0.99999999673356,0.36047484923701,20260.207831191,25,997.561,0.99963830199933,0.27444755945367
0.165,1.7381475779394,20290.188989409,1.0003558651796,0.22184895873396,2.1422102799419,-18082.818437099,1,0.273421616223,-17461.797650375,0.27342161614581,1.7381475781911,1.7381475779394,2.1422102806443,0.40406270236663,-18082.818437099,-710.58571874562,9777.3016066239,9802.3015956773,20290.188989409,-18082.818437099,-723.32580538207,-687.36389375863,-35544.616087474,1,0.22184895873396,0.051572657535522,-723.32578249532,997.561,1.0000000053839,0.27342161638931,9802.3016022624,25,997.561,0.99968235448294,0.22184895869028
0.17,2.3824938269629,-35544.616100881,1.0003789256661,0.3040902748479,1.7303917706905,-13191.235024949,1,0.2208590440776,-10547.543521657,0.22085904407826,2.3824938269063,2.3824938269629,1.730391770892,-0.65210205612843,-13191.235024949,-2732.2805000574,-19150.948322486,-19125.948330171,-35544.616100881,-13191.235024949,-2710.4876926125,-2689.6130892223,-23738.778546606,1,0.3040902748479,-0.083231230751919,-2732.2804992671,997.561,0.99999992387569,0.30409027482419,-19125.948332986,25,997.561,0.99965868628464,0.30409027484507
0.175,2.8553188661839,-23738.778552433,1.000434713689,0.36443943273637,2.3644253154576,16522.892587221,1,0.30178409526096,16256.137288314,0.30178409514771,2.8553188681929,2.8553188661839,2.3644253150268,-0.49089355372009,16522.892587221,346.15857682541,-11708.810004046,-11683.809957118,-23738.778552433,16522.892587221,366.97890026203,410.44660607924,32779.029875535,1,0.36443943273637,-0.062655337857515,346.15857729939,997.561,0.99999995766897,0.36443943295968,-11683.810021828,25,997.561,0.99976229330227,0.36443943243856
0.18,2.2641878229852,32779.029883314,1.0003727606036,0.28899025450006,2.8359685170334,14665.621282764,1,0.36196964543829,12101.426461945,0.36196964542617,2.2641878231311,2.2641878229852,2.8359685168134,0.57178069390782,14665.621282764,2667.1672157032,17710.598629252,17735.598605994,32779.029883314,14665.621282764,2643.4718194997,2706.1665497578,26767.047744709,1,0.28899025450006,0.072979390920309,2643.4718210579,997.561,0.99999999621203,0.36196964544322,17735.598624937,25,997.561,0.99973837572907,0.28899025452941
0.185,1.7357969560403,26767.047807189,1.000383602868,0.22154893644165,2.254899261006,-14960.475881658,1,0.2878047062593,-14873.081834411,0.28780470623018,1.7357969554614,1.7357969560403,2.254899260546,0.51910230544072,-14960.475881658,-156.36246767762,13292.842674514,13317.842599277,26767.047807189,-14960.475881658,-173.19514030255,-134.06993587469,-29833.557716069,1,0.22154893644165,0.066255769878266,-173.19513776941,997.561,1.0000000070368,0.28780470623358,13317.842681407,25,997.561,0.99980945907768,0.22154893635536
0.19,2.2680008777321,-29833.557711544,1.0003101795787,0.28947693482337,1.7288357448821,-16106.842881418,1,0.22066044028254,-13474.329744985,0.22066044027722,2.2680008777352,2.2680008777321,1.7288357448352,-0.53916513288055,-16106.842881418,-2734.3702574602,-16296.464016937,-16271.464014821,-29833.557711544,-16106.842881418,-2716.8601422262,-2694.9360815497,-29581.172626403,1,0.28947693482337,-0.068816494544731,-2734.3702589325,997.561,0.99999997129036,0.28947693481925,-16271.464014678,25,997.561,0.9998179959155,0.28947693483808
0.195,2.8447933273043,-29581.172652981,1.0002705918707,0.36309600259832,2.2512706199743,13136.365260524,1,0.28734156363279,13395.19399972,0.28734156358148,2.8447933297042,2.8447933273043,2.2512706203422,-0.5935227122297,13136.365260524,-201.41084452141,-14903.791819839,-14878.791774272,-29581.172652981,13136.365260524,-176.83416923675,-138.51466309316,26531.559260245,1,0.36309600259832,-0.075754439590919,-201.410866821,997.561,0.99999996590601,0.36309600336331,-14878.791779189,25,997.561,0.99994442130409,0.36309600312276
0.2,2.375217098464,26531.559249158,1.0001471405828,0.30316150754357,2.8248216997903,17212.821992783,1,0.36054691826025,14714.325302004,0.3605469182693,2.3752170985545,2.375217098464,2.8248216999225,0.44960460130137,17212.821992783,2612.161538952,14559.36038512,14584.360394746,26531.559249158,17212.821992783,2593.1643957977,2656.3603799758,31927.147294787,1,0.30316150754357,0.057385410713486,2593.1643954561,997.561,1.000000002512,0.36054691825306,14584.360388366,25,997.561,0.99992526447423,0.30316150754354
0.205,1.7560856277963,31927.147324432,1.0001348993025,0.22413848681142,2.3645602568857,-11347.848903921,1,0.30180131854838,-11776.438127743,0.30180131860531,1.75608562854,1.7560856277963,2.3645602575719,0.60847462940631,-11347.848903921,382.60829983033,16142.377815609,16167.377765615,31927.147324432,-11347.848903921,362.23513543927,404.65766354819,-23124.287031664,1,0.22413848681142,0.077662831777409,362.23513428124,997.561,1.000000020474,0.30180131861193,16167.377831385,25,997.561,1.000010615522,0.22413848686094
