"temperature","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
695.78,1,0.2816,1.7243e-17,1,0.2816
695.97,1,0.2824,1.7292e-17,1,0.2824
696.17,1,0.2832,1.7341e-17,1,0.2832
696.37,1,0.284,1.739e-17,1,0.284
696.57,1,0.2848,1.7439e-17,1,0.2848
696.76,1,0.2856,1.7488e-17,1,0.2856
696.96,1,0.2864,1.7537e-17,1,0.2864
697.16,1,0.2872,1.7586e-17,1,0.2872
697.36,1,0.288,1.7635e-17,1,0.288
697.55,1,0.2888,1.7684e-17,1,0.2888
697.75,1,0.2896,1.7733e-17,1,0.2896
697.95,1,0.2904,1.7782e-17,1,0.2904
698.14,1,0.2912,1.7831e-17,1,0.2912
698.34,1,0.292,1.788e-17,1,0.292
698.54,1,0.2928,1.7929e-17,1,0.2928
698.74,1,0.2936,1.7978e-17,1,0.2936
698.93,1,0.2944,1.8027e-17,1,0.2944
699.13,1,0.2952,1.8076e-17,1,0.2952
699.33,1,0.296,1.8125e-17,1,0.296
699.53,1,0.2968,1.8174e-17,1,0.2968
699.72,1,0.2976,1.8223e-17,1,0.2976
699.92,1,0.2984,1.8272e-17,1,0.2984
700.12,1,0.2992,1.8321e-17,1,0.2992
700.31,1,0.3,1.837e-17,1,0.3
700.51,1,0.3008,1.8419e-17,1,0.3008
700.71,1,0.3016,1.8468e-17,1,0.3016
700.91,1,0.3024,1.8517e-17,1,0.3024
701.1,1,0.3032,1.8566e-17,1,0.3032
701.3,1,0.304,1.8615e-17,1,0.304
701.5,1,0.3048,1.8664e-17,1,0.3048
701.7,1,0.3056,1.8713e-17,1,0.3056
701.89,1,0.3064,1.8762e-17,1,0.3064
702.09,1,0.3072,1.8811e-17,1,0.3072
702.29,1,0.308,1.886e-17,1,0.308
702.49,1,0.3088,1.8909e-17,1,0.3088
702.68,1,0.3096,1.8958e-17,1,0.3096
702.88,1,0.3104,1.9007e-17,1,0.3104
703.08,1,0.3112,1.9056e-17,1,0.3112
703.27,1,0.312,1.9104e-17,1,0.312
703.47,1,0.3128,1.9153e-17,1,0.3128
703.67,1,0.3136,1.9202e-17,1,0.3136
703.87,1,0.3144,1.9251e-17,1,0.3144
704.06,1,0.3152,1.93e-17,1,0.3152
704.26,1,0.316,1.9349e-17,1,0.316
704.46,1,0.3168,1.9398e-17,1,0.3168
704.66,1,0.3176,1.9447e-17,1,0.3176
704.85,1,0.3184,1.9496e-17,1,0.3184
705.05,1,0.3192,1.9545e-17,1,0.3192
705.25,1,0.32,1.9594e-17,1,0.32
705.45,1,0.3208,1.9643e-17,1,0.3208
705.65,1,0.3216,1.9692e-17,1,0.3216
705.85,1,0.3224,1.9741e-17,1,0.3224
706.05,1,0.3232,1.979e-17,1,0.3232
706.24,1,0.324,1.9839e-17,1,0.324
706.44,1,0.3248,1.9888e-17,1,0.3248
706.64,1,0.3256,1.9937e-17,1,0.3256
706.84,1,0.3264,1.9986e-17,1,0.3264
707.04,1,0.3272,2.0035e-17,1,0.3272
707.24,1,0.328,2.0084e-17,1,0.328
707.44,1,0.3288,2.0133e-17,1,0.3288
707.64,1,0.3296,2.0182e-17,1,0.3296
707.84,1,0.3304,2.0231e-17,1,0.3304
708.04,1,0.3312,2.028e-17,1,0.3312
708.24,1,0.332,2.0329e-17,1,0.332
708.44,1,0.3328,2.0378e-17,1,0.3328
708.64,1,0.3336,2.0427e-17,1,0.3336
708.84,1,0.3344,2.0476e-17,1,0.3344
709.04,1,0.3352,2.0525e-17,1,0.3352
709.24,1,0.336,2.0574e-17,1,0.336
709.44,1,0.3368,2.0623e-17,1,0.3368
709.63,1,0.3376,2.0672e-17,1,0.3376
709.83,1,0.3384,2.0721e-17,1,0.3384
710.03,1,0.3392,2.077e-17,1,0.3392
710.23,1,0.34,2.0819e-17,1,0.34
710.43,1,0.3408,2.0868e-17,1,0.3408
710.63,1,0.3416,2.0917e-17,1,0.3416
710.83,1,0.3424,2.0966e-17,1,0.3424
711.03,1,0.3432,2.1015e-17,1,0.3432
711.23,1,0.344,2.1064e-17,1,0.344
711.43,1,0.3448,2.1113e-17,1,0.3448
711.63,1,0.3456,2.1162e-17,1,0.3456
711.83,1,0.3464,2.1211e-17,1,0.3464
712.03,1,0.3472,2.126e-17,1,0.3472
712.23,1,0.348,2.1309e-17,1,0.348
712.43,1,0.3488,2.1358e-17,1,0.3488
712.63,1,0.3496,2.1407e-17,1,0.3496
712.83,1,0.3504,2.1456e-17,1,0.3504
713.03,1,0.3512,2.1505e-17,1,0.3512
713.22,1,0.352,2.1554e-17,1,0.352
713.42,1,0.3528,2.1603e-17,1,0.3528
713.62,1,0.3536,2.1652e-17,1,0.3536
713.82,1,0.3544,2.1701e-17,1,0.3544
714.02,1,0.3552,2.175e-17,1,0.3552
714.22,1,0.356,2.1799e-17,1,0.356
714.42,1,0.3568,2.1848e-17,1,0.3568
714.62,1,0.3576,2.1897e-17,1,0.3576
714.82,1,0.3584,2.1946e-17,1,0.3584
715.02,1,0.3592,2.1995e-17,1,0.3592
715.22,1,0.36,2.2044e-17,1,0.36
715.42,1,0.3608,2.2093e-17,1,0.3608
715.62,1,0.3616,2.2142e-17,1,0.3616
715.82,1,0.3624,2.2191e-17,1,0.3624
716.02,1,0.3632,2.224e-17,1,0.3632
716.22,1,0.364,2.2289e-17,1,0.364
716.42,1,0.3648,2.2338e-17,1,0.3648
716.62,1,0.3656,2.2387e-17,1,0.3656
716.82,1,0.3664,2.2436e-17,1,0.3664
717.02,1,0.3672,2.2485e-17,1,0.3672
717.22,1,0.368,2.2534e-17,1,0.368
717.42,1,0.3688,2.2582e-17,1,0.3688
717.62,1,0.3696,2.2631e-17,1,0.3696
717.82,1,0.3704,2.268e-17,1,0.3704
718.02,1,0.3712,2.2729e-17,1,0.3712
718.22,1,0.372,2.2778e-17,1,0.372
718.42,1,0.3728,2.2827e-17,1,0.3728
