time,NekInlet:massflow,NekInlet:pressure,NekInlet:temperature,NekInlet:velocity,NekOutlet:massflow,NekOutlet:pressure,NekOutlet:temperature,NekOutlet:velocity,SAM_dudt,SAM_velocity,coupled_nekdP,dP_overlap,mFlow_deadend,mFlow_out2,mFlow_out6,p_in,p_inlet_interface,p_out,toNekRS_temperature,toNekRS_velocity,branch3to5anddeadend:pressure,branch3to5anddeadend:rho,branch3to5anddeadend:temperature,branch3to5anddeadend:velocity,junction2to3:pressure,junction2to3:rho,junction2to3:temperature,junction2to3:velocity,junction5to6:pressure,junction5to6:rho,junction5to6:temperature,junction5to6:velocity,junction6to7:pressure,junction6to7:rho,junction6to7:temperature,junction6to7:velocity,junction7toOverlap:pressure,junction7toOverlap:rho,junction7toOverlap:temperature,junction7toOverlap:velocity
30,0.72797481616374,15018802.780892,548.8401241991,0.33394121341279,0.74921784815463,15018801.07211,548.73533941408,0.34360622628994,-0.0094767996437234,0.33394121341279,9.35,2.6939393114299,0.020994870908744,0.74918065910174,0.72819657486661,15018805.474831,15018801.07211,15018802.780892,548.70255278703,0.33394121340947,14999954.313713,767.90239952087,550.65463009967,0.34512213624789,15011254.781932,767.7536315877,550.74177033336,0.34512213624655,15003712.300629,767.95353124934,550.62467989016,0.33545611943772,15011251.129458,771.40142596877,548.60508907395,0.3339412134088,15018805.47483,771.23503353996,548.70255278688,0.33394121340882
31,0.71092492274612,15018801.072108,548.80862338717,0.32609723243517,0.72819657487377,15018800.964478,548.70255278703,0.33394121341276,-0.0084498802546584,0.32609723243517,9.35,4.6873441934586,0.017039129198194,0.72816762303166,0.71114200719916,15018805.759453,15018800.964478,15018801.072108,548.67071230923,0.32609723243168,14999956.680671,767.86865944342,550.67439321778,0.33545708349246,15011255.296177,767.71943705515,550.76179964676,0.33545708349226,15003713.760647,767.92002086633,550.64430846564,0.32761209808266,15011251.783999,771.45558863396,548.57336350514,0.32609723243166,15018805.759442,771.2893923803,548.67071230923,0.32609723243142
32,0.69638789765344,15018800.964479,548.77759804816,0.31940723988167,0.71114200720685,15018804.634032,548.67071230918,0.32609723243517,-0.0070475911069752,0.31940723988167,9.35,5.9505297616124,0.014532358267571,0.71111077228948,0.69660050397984,15018806.915009,15018804.634032,15018800.964479,548.63970290409,0.31940723987802,14999958.723729,767.8357839434,550.69364991304,0.32761305964512,15011257.969104,767.68700682703,550.78079552575,0.32761305964499,15003715.274323,767.88709783455,550.66359300245,0.32092207613345,15011252.897921,771.5052297142,548.54428643698,0.31940723987781,15018806.915006,771.34233239347,548.63970290404,0.31940723987796
33,0.68164591079267,15018804.634033,548.74711975838,0.31262454306086,0.69660050398774,15018807.027201,548.63970290414,0.31940723988168,-0.0066417285900451,0.31262454306086,9.35,5.8485082071275,0.014733330655697,0.69656357945685,0.6818533577782,15018810.482541,15018807.027201,15018804.634033,548.609651762,0.31262454305751,14999960.487356,767.80379073672,550.71238980844,0.32092301522222,15011259.776141,767.65845486678,550.79751972454,0.32092301522221,15003717.308267,767.85490500136,550.68244982829,0.31413935157874,15011255.486118,771.55267253252,548.51649699212,0.31262454305749,15018810.482543,771.39363643652,548.60965176193,0.31262454305741
34,0.66741192583415,15018807.0272,548.71721693371,0.30607612154891,0.68185335778551,15018806.912912,548.60965176197,0.31262454306084,-0.0065414358094671,0.30607612154891,9.35,6.1046248134226,0.014224157665823,0.68181758235751,0.66761361483827,15018813.131825,15018806.912912,15018807.0272,548.58070509513,0.30607612154577,14999962.116147,767.77276823623,550.7305611165,0.31414026925861,15011260.037843,767.6313854814,550.81337551092,0.31414026925856,15003718.986271,767.82352331908,550.70083152568,0.30759090107444,15011257.448729,771.59913016417,548.4892846165,0.30607612154574,15018813.131822,771.4430548924,548.58070509512,0.30607612154566
35,0.65515136574174,15018806.912915,548.68791585244,0.3004339228424,0.66761361484517,15018807.377073,548.5807050951,0.30607612154892,-0.0059170644549749,0.3004339228424,9.35,7.0968037396669,0.012255705103902,0.66758127579851,0.65534723168315,15018814.009718,15018807.377073,15018806.912915,548.55285561773,0.30043392283927,14999963.624291,767.74279525089,550.74811767516,0.30759180312767,15011260.616614,767.60452724919,550.82910761515,0.30759180312768,15003720.079394,767.7929646452,550.71873114911,0.30194867790573,15011258.238303,771.64309695768,548.46353123955,0.30043392283928,15018814.009716,771.49060019967,548.55285561777,0.30043392283915
36,0.64426581840599,15018807.377075,548.6592675175,0.29542338395723,0.65534723169007,15018809.166039,548.55285561771,0.30043392284242,-0.0051856032366522,0.29542338395723,9.35,7.788357578218,0.010883614863764,0.65531418364559,0.64445573344833,15018815.165432,15018809.166039,15018807.377075,548.52608965507,0.29542338395429,14999964.964062,767.71391536007,550.765033958,0.30194955934035,15011261.938931,767.57939170933,550.84383065909,0.30194955934033,15003721.148008,767.7632779753,550.73611999963,0.29693812070806,15011259.157923,771.68381279941,548.43968209486,0.29542338395435,15018815.165432,771.53629570421,548.52608965511,0.29542338395435
37,0.63372678552282,15018809.166038,548.63133972013,0.29057282545943,0.64445573345469,15018810.430164,548.52608965509,0.29542338395722,-0.0048399841577366,0.29057282545943,9.35,7.9632890410721,0.010535916617808,0.64442079242223,0.63391037453986,15018817.129327,15018810.430164,15018809.166038,548.50044888337,0.29057282545658,14999966.152713,767.68617199803,550.78128452356,0.29693897137095,15011262.898232,767.55672855363,550.8571055137,0.29693897137147,15003722.351773,767.73455178137,550.75294625512,0.29208754607658,15011260.557248,771.72225327936,548.41716573442,0.29057282545681,15018817.129326,771.58007025543,548.50044888333,0.29057282545666
38,0.62377160871023,15018810.430163,548.60417164241,0.28599103726484,0.63391037454606,15018810.745791,548.50044888336,0.29057282545941,-0.0046187173074494,0.28599103726484,9.35,8.257435509935,0.009951985573331,0.63387643091868,0.62394857614952,15018818.687599,15018810.745791,15018810.430163,548.47598036162,0.28599103726228,14999967.241138,767.65962435939,550.79683469883,0.29208836622052,15011263.262002,767.53551970002,550.86952851657,0.29208836622067,15003723.37814,767.70684673525,550.76917437728,0.28750574253732,15011261.674627,771.75895462046,548.39566806774,0.28599103726224,15018818.687597,771.62184351265,548.47598036166,0.28599103726231
39,0.61490472477741,15018810.74579,548.57779234867,0.28190923001081,0.62394857615515,15018811.252826,548.4759803616,0.28599103726484,-0.0042186039691865,0.28190923001081,9.35,8.8049420937896,0.0088659792382718,0.6239166434767,0.61507497113368,15018819.550732,15018811.252826,15018810.74579,548.45268406303,0.28190923000838,14999968.242026,767.63429968623,550.81166852686,0.2875065335584,15011263.720985,767.51521011748,550.88142477493,0.28750653355835,15003724.155918,767.68019433531,550.78478591607,0.28342392281384,15011262.327177,771.79339721647,548.37549345214,0.28190923000839,15018819.550731,771.66161552206,548.45268406306,0.28190923000838
40,0.60687106841591,15018811.252826,548.55224606856,0.27821039137136,0.61507497113903,15018812.218299,548.45268406302,0.28190923001082,-0.0037948466082428,0.27821039137136,9.35,9.2243124675006,0.0080341150035601,0.6150435008576,0.60703451293368,15018820.477138,15018812.218299,15018811.252826,548.43053935012,0.27821039136917,14999969.145274,767.61020479948,550.82578201232,0.28342468283555,15011264.429843,767.4963215481,550.8924886804,0.2834246828355,15003724.893315,767.65462995788,550.79976014994,0.27972507499981,15011262.997486,771.82537789589,548.35676089453,0.27821039136916,15018820.477137,771.69942151629,548.43053935013,0.27821039136932
41,0.59926513258325,15018812.2183,548.52757582152,0.27470857400758,0.60703451293845,15018812.960919,548.43053935012,0.27821039137135,-0.003526695801447,0.27470857400758,9.35,9.4399863164872,0.0076060749972521,0.60700312540638,0.59942165392758,15018821.658286,15018812.960919,15018812.2183,548.40953862228,0.27470857400557,14999969.95936,767.58734437803,550.83917241458,0.2797258007686,15011264.98161,767.4790684639,550.90259460684,0.27972580076853,15003725.648749,767.63018952565,550.81407603731,0.27622324998327,15011263.812269,771.85536582044,548.33919558528,0.27470857400551,15018821.658286,771.7352744713,548.40953862228,0.27470857400551
