time,dP,inlet_P,inlet_V,outlet_P,outlet_V
5.7499999999999,-48.013478667765,-48.013478667765,0.1846192157692,0,0.18358280312298
5.7599999999999,-429.64613696576,-429.64613696576,0.18023332443297,0,0.17924310824532
5.7699999999999,18.299299630557,18.299299630557,0.18039114094415,0,0.17936726670829
5.7799999999999,441.92511091191,441.92511091191,0.18478016973572,0,0.1837069249157
5.7899999999999,40.870144319396,40.870144319396,0.18509448175458,0,0.18404939234128
5.7999999999999,-419.60062354727,-419.60062354727,0.18080253656361,0,0.17980905095557
5.8099999999999,-68.774057112643,-68.774057112643,0.18008231820402,0,0.17906597440827
5.8199999999999,423.14835912267,423.14835912267,0.18428924283096,0,0.18321928090903
5.8299999999999,125.26651005514,125.26651005514,0.1854552724919,0,0.18440240386535
5.8399999999999,-392.44284130794,-392.44284130794,0.18143003088007,0,0.18043192152096
5.8499999999999,-149.66875064325,-149.66875064325,0.17989263200545,0,0.17888306952602
5.8599999999999,388.03417250444,388.03417250444,0.18375236754714,0,0.18268730617338
5.8699999999999,201.88220370605,201.88220370605,0.18569305957189,0,0.18463372218513
5.8799999999999,-349.88365006087,-349.88365006087,0.18209031217559,0,0.18108652320474
5.8899999999999,-221.29123977832,-221.29123977832,0.17982788745799,0,0.17882407712805
5.8999999999999,338.59532835417,338.59532835417,0.18319536899119,0,0.18213646490937
5.9099999999999,267.85972992732,267.85972992732,0.18580471696616,0,0.1847402729389
5.9199999999999,-294.20277678983,-294.20277678983,0.18275751613872,0,0.18174704779025
5.9299999999999,-281.03758553789,-281.03758553789,0.17988863924742,0,0.17888911287413
5.9399999999999,277.35768338545,277.35768338545,0.18264403753888,0,0.18159200655984
5.9499999999999,320.87521321087,320.87521321087,0.1857924185868,0,0.18472415245988
5.9599999999999,-228.13869478086,-228.13869478086,0.1834064200405,0,0.18238836212752
5.9699999999999,-326.88293268402,-326.88293268402,0.18007028721581,0,0.1790732704315
5.9799999999999,207.2395455609,207.2395455609,0.18212300879192,0,0.1810781239094
5.9899999999999,359.21502513516,359.21502513516,0.18566330221676,0,0.18459252653956
5.9999999999999,-154.75951311751,-154.75951311751,0.1840133925395,0,0.18298715411873
6.0099999999999,-357.4428607291,-357.4428607291,0.18036339765086,0,0.17936710511393
6.0199999999999,131.41928321438,131.41928321438,0.18165475393146,0,0.18061705354812
6.0299999999999,381.82620251698,381.82620251698,0.18542897112888,0,0.1843571461124
6.0399999999999,-77.323441365227,-77.323441365227,0.1845572969122,0,0.1835227546442
6.0499999999999,-372.00519839119,-372.00519839119,0.18075427304709,0,0.17975708063292
6.0599999999999,53.197400341011,53.197400341011,0.18125876768245,0,0.18022812617714
6.0699999999999,388.33613474652,388.33613474652,0.18510489950631,0,0.18403361560508
6.0799999999999,0.86053241851343,0.86053241851343,0.18502030441596,0,0.18397780257741
6.0899999999999,-370.5367047567,-370.5367047567,0.18122569046174,0,0.18022617555742
6.0999999999999,-24.142808942516,-24.142808942516,0.18095090475372,0,0.17992700049924
6.1099999999999,379.04500451119,379.04500451119,0.18470970107472,0,0.18364053235273
6.1199999999999,76.569576783371,76.569576783371,0.18538853756408,0,0.1843387789015
6.1299999999999,-353.65995251007,-353.65995251007,0.18175776125744,0,0.18075465822392
6.1399999999999,-97.468881194874,-97.468881194874,0.18074287736914,0,0.17972510838907
6.1499999999999,354.88923462885,354.88923462885,0.18426426370075,0,0.18319860113609
6.1599999999999,146.79572318652,146.79572318652,0.18565250509331,0,0.18459638594068
6.1699999999999,-322.60632963793,-322.60632963793,0.18232883374081,0,0.18132097706972
6.1799999999999,-163.92305463412,-163.92305463412,0.18064192912268,0,0.17962936945675
6.1899999999999,317.37942301376,317.37942301376,0.18379081781276,0,0.18272978151071
6.1999999999999,208.85958673899,208.85958673899,0.18580732165249,0,0.18474591246555
6.2099999999999,-279.14505618855,-279.14505618855,0.18291641720385,0,0.18190285296981
6.2199999999999,-221.03022506463,-221.03022506463,0.18065064647093,0,0.17964219824879
6.2299999999999,268.51854893118,268.51854893118,0.18331192652414,0,0.18225644225346
6.2399999999999,260.50917171696,260.50917171696,0.18585270175348,0,0.1847873164579
6.2499999999999,-225.4899218631,-225.4899218631,0.18349810298096,0,0.18247823086158
6.2599999999999,-266.78416478747,-266.78416478747,0.18076700898986,0,0.1797615365711
6.2699999999999,210.70338580883,210.70338580883,0.18284954928157,0,0.18180036050383
6.2799999999999,299.99860073972,299.99860073972,0.18579282178683,0,0.18472493739747
6.2899999999999,-164.19254270036,-164.19254270036,0.18405250787793,0,0.18302600310182
6.2999999999999,-299.71221026093,-299.71221026093,0.18098468155708,0,0.17998089710167
6.3099999999999,146.61442359438,146.61442359438,0.18242423508623,0,0.18138167214321
6.3199999999999,326.14296078587,326.14296078587,0.18563607418028,0,0.18456702081418
6.3299999999999,-98.02631822989,-98.02631822989,0.18456017873059,0,0.18352676066731
6.3399999999999,-318.91767289149,-318.91767289149,0.18129346795407,0,0.1802898077117
6.3499999999999,79.093660148131,79.093660148131,0.18205434545856,0,0.18101820098022
6.3599999999999,338.3417400519,338.3417400519,0.18539454127184,0,0.18432544015105
6.3699999999999,-29.868161446365,-29.868161446365,0.18500426184653,0,0.18396377637589
6.3799999999999,-324.09906795017,-324.09906795017,0.18167978351535,0,0.18067462945406
6.3899999999999,11.021037177993,11.021037177993,0.18175528207749,0,0.18072507633056
6.3999999999999,336.58506757457,336.58506757457,0.18508328938629,0,0.18401526848391
6.4099999999999,37.422147673839,37.422147673839,0.18537101681986,0,0.18432371331459
6.4199999999999,-315.53947862622,-315.53947862622,0.18212726976481,0,0.18111927341706
6.4299999999999,-54.801312868838,-54.801312868838,0.18153893976351,0,0.18051413025372
6.4399999999999,321.43484191507,321.43484191507,0.18471964820795,0,0.18365392888516
6.4499999999999,101.12364622928,101.12364622928,0.18565031767536,0,0.18459689457052
6.4599999999999,-294.07237758142,-294.07237758142,0.18261762730323,0,0.18160578589957
6.4699999999999,-115.76149411651,-115.76149411651,0.18141340235552,0,0.18039341455892
6.4799999999999,293.98156516212,293.98156516212,0.1843224749747,0,0.18326028601136
6.4899999999999,158.75880590012,158.75880590012,0.18583597212759,0,0.18477746540402
6.4999999999999,-261.02814204115,-261.02814204115,0.18313146278721,0,0.18211503783255
6.5099999999999,-169.53711191443,-169.53711191443,0.18138278036677,0,0.18036689274879
6.5199999999999,255.78124093795,255.78124093795,0.18391136633384,0,0.18285373534576
6.5299999999999,208.18515885544,208.18515885544,0.18592587100417,0,0.18486342686987
6.5399999999999,-218.16354203884,-218.16354203884,0.18364914286051,0,0.18262749303121
6.5499999999999,-214.18050104935,-214.18050104935,0.18144720178826,0,0.18043439790303
6.5599999999999,208.77524770557,208.77524770557,0.18350584933343,0,0.18245340171874
6.5699999999999,247.67107767736,247.67107767736,0.18592193636519,0,0.18485662717626
6.5799999999999,-167.57657961513,-167.57657961513,0.18415159535181,0,0.18312413656564
6.5899999999999,-248.18784381515,-248.18784381515,0.18160292079362,0,0.18059193500911
6.5999999999999,155.19453694277,155.19453694277,0.18312453172496,0,0.18207752930127
6.6099999999999,275.95060789572,275.95060789572,0.1858298419851,0,0.18476272214008
6.6199999999999,-111.60770023967,-111.60770023967,0.18462101626008,0,0.18358735554896
6.6299999999999,-270.54306531621,-270.54306531621,0.1818425562549,0,0.18083205542986
6.6399999999999,97.460459682678,97.460459682678,0.18278434127279,0,0.18174281417602
6.6499999999999,292.26046299994,292.26046299994,0.18565863057953,0,0.1845908276905
6.6599999999999,-52.736019636094,-52.736019636094,0.18504153885837,0,0.18400161507842
6.6699999999999,-280.74288553405,-280.74288553405,0.18215551422776,0,0.18114427982478
6.6799999999999,38.079359836422,38.079359836422,0.18249989424813,0,0.18146374452693
6.6899999999999,296.35439495924,296.35439495924,0.18542023408403,0,0.18435296389764
6.6999999999999,6.5292768213957,6.5292768213957,0.18539983494549,0,0.18435394028049
6.7099999999999,-278.79778565424,-278.79778565424,0.18252856589871,0,0.18151553638873
6.7199999999999,-20.462337785621,-20.462337785621,0.18228300897817,0,0.18125198337176
6.7299999999999,288.49531835377,288.49531835377,0.18512891490879,0,0.18406336726075
6.7399999999999,63.751943127693,63.751943127693,0.18568560164794,0,0.18463427204568
6.7499999999999,-265.21345331987,-265.21345331987,0.18294650756567,0,0.18193071710702
