step= 93  t= 9.30000000e-01  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 1  S: 6  eTimeStep= 3.45e-02s eTime= 3.26462e+00s
step= 94  t= 9.40000000e-01  dt=1.0e-02  C= 0.46  UVW: 5  P: 1  S: 2  S: 6  eTimeStep= 3.62e-02s eTime= 3.30086e+00s
step= 95  t= 9.50000000e-01  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 1  S: 6  eTimeStep= 3.38e-02s eTime= 3.33471e+00s
step= 96  t= 9.60000000e-01  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 1  S: 6  eTimeStep= 3.30e-02s eTime= 3.36766e+00s
step= 97  t= 9.70000000e-01  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 2  S: 6  eTimeStep= 3.35e-02s eTime= 3.40117e+00s
step= 98  t= 9.80000000e-01  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 1  S: 6  eTimeStep= 3.35e-02s eTime= 3.43462e+00s
step= 99  t= 9.90000000e-01  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 1  S: 6  eTimeStep= 3.37e-02s eTime= 3.46831e+00s
step= 100  t= 1.00000000e+00  dt=1.0e-02  C= 0.46  UVW: 5  P: 1  S: 2  S: 6  eTimeStep= 3.53e-02s eTime= 3.50361e+00s
step= 101  t= 1.01000000e+00  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 2  S: 6  eTimeStep= 3.44e-02s eTime= 3.53805e+00s
step= 102  t= 1.02000000e+00  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 3  S: 6  eTimeStep= 3.49e-02s eTime= 3.57300e+00s
step= 103  t= 1.03000000e+00  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 1  S: 6  eTimeStep= 3.47e-02s eTime= 3.60766e+00s
step= 104  t= 1.04000000e+00  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 1  S: 6  eTimeStep= 3.48e-02s eTime= 3.64248e+00s
step= 105  t= 1.05000000e+00  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 2  S: 6  eTimeStep= 3.42e-02s eTime= 3.67667e+00s
step= 106  t= 1.06000000e+00  dt=1.0e-02  C= 0.46  UVW: 5  P: 1  S: 1  S: 6  eTimeStep= 3.41e-02s eTime= 3.71079e+00s
step= 107  t= 1.07000000e+00  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 1  S: 6  eTimeStep= 3.33e-02s eTime= 3.74410e+00s
step= 108  t= 1.08000000e+00  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 1  S: 6  eTimeStep= 3.36e-02s eTime= 3.77769e+00s
step= 109  t= 1.09000000e+00  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 2  S: 6  eTimeStep= 3.42e-02s eTime= 3.81184e+00s
step= 110  t= 1.10000000e+00  dt=1.0e-02  C= 0.46  UVW: 5  P: 1  S: 1  S: 6  eTimeStep= 3.50e-02s eTime= 3.84685e+00s
step= 111  t= 1.11000000e+00  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 1  S: 6  eTimeStep= 3.42e-02s eTime= 3.88106e+00s
step= 112  t= 1.12000000e+00  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 1  S: 6  eTimeStep= 3.44e-02s eTime= 3.91549e+00s
step= 113  t= 1.13000000e+00  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 3  S: 6  eTimeStep= 3.51e-02s eTime= 3.95061e+00s
step= 114  t= 1.14000000e+00  dt=1.0e-02  C= 0.46  UVW: 5  P: 1  S: 1  S: 6  eTimeStep= 3.59e-02s eTime= 3.98653e+00s
step= 115  t= 1.15000000e+00  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 1  S: 6  eTimeStep= 3.39e-02s eTime= 4.02042e+00s
step= 116  t= 1.16000000e+00  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 1  S: 6  eTimeStep= 3.30e-02s eTime= 4.05346e+00s
step= 117  t= 1.17000000e+00  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 2  S: 6  eTimeStep= 3.36e-02s eTime= 4.08703e+00s
step= 118  t= 1.18000000e+00  dt=1.0e-02  C= 0.46  UVW: 5  P: 1  S: 1  S: 6  eTimeStep= 3.46e-02s eTime= 4.12159e+00s
